radicado,tipo_registro,case_type,situacion,terminado,ubicacion_interna,etapa,tramite_pendiente,encargado,tipo_proceso,ultimo_auto,status
"11001310305120250000700","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Diego","Debido Proceso","","received"
"11001310305120250005000","civil","civil_otros","terminado","si","Para archivo","Para enviar a ejecución","Planner: Para Archivar | En curso | Para Enviar a Ejecución;PendienteArchivar","Diego","Otros Procesos / Restitución De Inmuble","Auto No Tramita Transaccion (2026-04-14)","archived"
"11001310305120250005100","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Francesa","Derecho De Petición","","received"
"11001310305120250005200","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Diego","Vida","","received"
"11001310305120250005300","civil","civil_ejecutivo","terminado","si","Para archivo","Pendiente archivo físico","Planner: Para Archivar | En curso | PendienteArchivar","Francesa","Ejecutivos","","archived"
"11001310305120250005400","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Francesa","Debido Proceso","","received"
"11001310305120250005500","civil","civil_ejecutivo","activo","no","Oficios pendientes de firma","sin_dato","Planner: Oficios Pendientes de firma | En curso","Diego","Ejecutivos","Auto OrdenaSeguirEjecucion_01Principal (1 de 3) (2026-06-17)","received"
"11001310305120250005600","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Diego","Derecho De Petición","","received"
"11001310305120250005700","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Francesa","Debido Proceso","","received"
"11001310305120250005800","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Diego","Debido Proceso","","received"
"11001310305120250005900","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Francesa","Debido Proceso","","received"
"11001310305120250006000","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Diego","Debido Proceso","","received"
"11001310305120250006100","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Francesa","Debido Proceso","","received"
"11001310305120250006200","civil","civil_ejecutivo","activo","no","Estado 21","Para ingresar al despacho","Planner: Estado 21 | En curso | Estado;Para Ingresar al Despacho","Francesa","Ejecutivos","Auto Obedezcase Cu´mplase-Cancela Cautela-Cuaderno Medidas Cautelares.pdf (2026-06-23)","received"
"11001310305120250006300","civil","civil_otros","terminado","si","Para archivo","Pendiente archivo físico","Planner: Para Archivar | En curso | PendienteArchivar","Diego","Otros Procesos / Otros Procesos","","archived"
"11001310305120250006400","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Diego","Debido Proceso","","received"
"11001310305120250006500","civil","civil_ordinario","terminado","si","Para archivo","Pendiente archivo físico","Planner: Para Archivar | En curso | PendienteArchivar","Francesa","Declarativos Especiales Divisorio","","archived"
"11001310305120250006600","civil","civil_otros","terminado","si","Para archivo","Pendiente archivo físico","Planner: Para Archivar | En curso | PendienteArchivar","Diego","Otros Procesos / Restitución De Inmuble","","archived"
"11001310305120250006700","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Francesa","Debido Proceso","","received"
"11001310305120250006800","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Diego","Debido Proceso","","received"
"11001310305120250006900","civil","civil_ejecutivo","activo","no","Estado 23","En trámite — entrada/estado","Planner: Estado 23 | En curso | Estado","Francesa","Ejecutivos","","received"
"11001310305120250007000","civil","civil_ordinario","activo","no","Oficios pendientes de firma","sin_dato","Planner: Oficios Pendientes de firma | En curso","Diego","Declarativos Verbal Pertenencia","Auto Oficiar Registro_01Principal (2026-06-17)","received"
"11001310305120250007200","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Diego","Debido Proceso","","received"
"11001310305120250007300","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Francesa","Derecho De Petición","","received"
"11001310305120250007400","civil","civil_ejecutivo","terminado","si","Para archivo","Pendiente archivo físico","Planner: Para Archivar | En curso | PendienteArchivar","Francesa","Ejecutivos","","archived"
"11001310305120250007600","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Diego","Debido Proceso","","received"
"11001310305120250007700","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Francesa","Debido Proceso","","received"
"11001310305120250007800","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Diego","Debido Proceso","","received"
"11001310305120250008000","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Diego","Debido Proceso","","received"
"11001310305120250008100","tutela","tutela_primera","activo","no","Para fallar","sin_dato","sin_dato","Francesa","Debido Proceso","","received"
